"WordPress ID","Content type","Old URL","Language","Slug","New categories","New tags","Migration status","Verification status"
"771","post","/2016/07/16/771/","ja","in-place-hold-application-time","Exchange Server","Exchange Server","included","metadata-reviewed"
"851","post","/2016/08/05/851/","ja","get-outlook-calendar-shortcuts-with-ews","Exchange Web Services","Exchange Web Services | Exchange Online","included","metadata-reviewed"
"901","post","/2016/09/04/901/","ja","convert-exchange-server-version-and-product-name","Exchange Server","Exchange Server | PowerShell","included","metadata-reviewed"
"961","post","/2016/11/27/961/","ja","customize-powershell-prompt","PowerShell","PowerShell","included","metadata-reviewed"
"1011","post","/2017/01/20/1011/","ja","getroomlists-getrooms-limitations","Exchange Web Services","Exchange Web Services | Exchange Server","included","metadata-reviewed"
"1091","post","/2017/04/01/1091/","ja","exchange-management-shell-remote-powershell-data-types","Exchange Server","Exchange Server | PowerShell","included","metadata-reviewed"
"1181","post","/2017/06/15/1181/","ja","exchange-online-powershell-mfa-under-the-hood","Exchange Online","Exchange Online | PowerShell","included","metadata-reviewed"
"1282","post","/2018/04/30/1282/","ja","remote-powershell-default-command-output","Exchange Online","Exchange Online | PowerShell","included","metadata-reviewed"
"1296","post","/2018/05/05/1296/","ja","check-delegate-private-calendar-permissions-powershell","PowerShell","Exchange Server | PowerShell","included","metadata-reviewed"
"1306","post","/2018/05/10/1306/","ja","inspect-export-transportrulecollection","PowerShell","Exchange Server | PowerShell","included","metadata-reviewed"
"1309","post","/2018/05/14/1309/","ja","sort-format-list-output-by-property-name","Exchange Online","Exchange Online | PowerShell","included","metadata-reviewed"
"1340","post","/2018/06/24/1340/","ja","office-365-messaging-apis","Exchange Online","Exchange Online | Exchange Web Services | Outlook REST API | Microsoft Graph","included","metadata-reviewed"
"1350","post","/2018/12/23/1350/","ja","get-warning-output-in-exchange-online-powershell","Exchange Online","Exchange Online | PowerShell","included","metadata-reviewed"
"1360","post","/2019/03/22/1360/","ja","debug-outlook-web-add-in-with-visual-studio","Outlook Add-ins","Outlook Add-ins | Visual Studio","included","metadata-reviewed"
"1365","post","/2019/05/28/1365/","ja","localize-messagetracedetail-reporting-web-service","Office 365 Reporting Web Services","Office 365 Reporting Web Services | Exchange Online | PowerShell","included","metadata-reviewed"
"1369","post","/2019/07/16/1369/","ja","getting-started-with-microsoft-graph","Microsoft Graph","Microsoft Graph | Office365APIEditor","included","metadata-reviewed"
"1372","post","/2019/07/16/1372/","ja","getting-started-with-outlook-rest-api","Outlook REST API","Outlook REST API | Exchange Online | Office365APIEditor","included","metadata-reviewed"
"1378","post","/2019/07/17/1378/","ja","getting-started-with-exchange-web-services","Exchange Web Services","Exchange Web Services | Exchange Online | EWSEditor","included","metadata-reviewed"
"1380","post","/2019/07/19/1380/","ja","getting-started-with-office-365-reporting-web-service","Office 365 Reporting Web Services","Office 365 Reporting Web Services | Exchange Online | PowerShell","included","metadata-reviewed"
"1383","post","/2019/07/19/1383/","ja","getting-started-with-office-365-management-activity-api","Office 365 Management Activity API","Office 365 Management Activity API | Microsoft 365 | Office365APIEditor","included","metadata-reviewed"
"1394","post","/2019/07/28/1394/","ja","retrieve-all-office-365-audit-logs","Microsoft 365","Microsoft 365 | Office 365 Management Activity API | Exchange Online","included","metadata-reviewed"
"1405","post","/2019/08/15/1405/","ja","get-all-exchange-online-mailboxes","Exchange Online","Exchange Online | PowerShell","included","metadata-reviewed"
"1418","post","/2019/08/25/1418/","ja","microsoft-graph-get-schedule","Microsoft Graph","Microsoft Graph | Exchange Online","included","metadata-reviewed"
"1423","post","/2019/11/13/1423/","ja","get-mapi-properties-with-microsoft-graph","Microsoft Graph","Microsoft Graph | MAPI","included","metadata-reviewed"
"1430","post","/2019/11/14/1430/","ja","introducing-robustcloudcommand-module","PowerShell","PowerShell | Exchange Online | RobustCloudCommand","included","metadata-reviewed"
"1448","post","/2019/12/22/1448/","ja","getting-started-with-microsoft-graph-toolkit","Microsoft Graph","Microsoft Graph | Microsoft Graph Toolkit | Visual Studio Code","included","metadata-reviewed"
"1473","post","/2019/12/31/1473/","ja","get-ews-access-token-with-msal-and-powershell","Exchange Web Services","Exchange Web Services | Exchange Online | MSAL | OAuth | PowerShell","included","metadata-reviewed"
"1490","post","/2020/02/03/1490/","ja","microsoft-graph-powershell-sdk-preview","Microsoft Graph","Microsoft Graph | Microsoft Graph PowerShell SDK | PowerShell","included","metadata-reviewed"
"1509","post","/2020/05/06/1509/","ja","connect-to-exchange-online-imap-with-oauth","Exchange Online","Exchange Online | IMAP | MSAL | OAuth","included","metadata-reviewed"
"1514","post","/2020/05/06/1514/","ja","connect-to-exchange-online-smtp-with-oauth","Exchange Online","Exchange Online | MSAL | OAuth | SMTP","included","metadata-reviewed"
"1519","post","/2020/05/29/1519/","ja","connect-to-exchange-online-pop-with-oauth","Exchange Online","Exchange Online | MSAL | OAuth | POP","included","metadata-reviewed"
"1524","post","/2020/07/28/1524/","ja","propose-alternative-meeting-time-with-microsoft-graph","Microsoft Graph","Microsoft Graph | Exchange Online","included","metadata-reviewed"
"1551","post","/2020/09/27/1551/","ja","non-interactive-exchange-online-powershell-connection","Exchange Online","Exchange Online | PowerShell | Authentication","included","metadata-reviewed"
"1559","post","/2020/10/05/1559/","ja","microsoft-graph-event-transaction-id","Microsoft Graph","Microsoft Graph | Exchange Online","included","metadata-reviewed"
"1570","post","/2020/10/21/1570/","ja","getting-started-with-microsoft-graph-powershell-sdk","Microsoft Graph","Microsoft Graph | Microsoft Graph PowerShell SDK | PowerShell","included","metadata-reviewed"
"1600","post","/2020/11/25/1600/","ja","exchange-legacy-api-missing-in-azure-app-registration","Outlook REST API","Outlook REST API | Microsoft Graph | Exchange Online","included","metadata-reviewed"
"1610","post","/2021/01/13/1610/","ja","getting-started-with-microsoft-graph-reports-api","Microsoft Graph","Microsoft Graph | Microsoft 365 | Office365APIEditor","included","metadata-reviewed"
"1619","post","/2021/01/13/1619/","ja","use-microsoft-graph-reports-api-with-power-automate","Microsoft Graph","Microsoft Graph | Microsoft 365 | Power Automate","included","metadata-reviewed"
"1635","post","/2021/01/19/1635/","ja","exchange-online-remote-powershell-v2-dotnet-framework","Exchange Online","Exchange Online | PowerShell | .NET Framework","included","metadata-reviewed"
"1657","post","/2021/05/11/1657/","ja","convert-pr-entryid-to-microsoft-graph-rest-id","Microsoft Graph","Microsoft Graph | MAPI | PR_ENTRYID | PowerShell","included","metadata-reviewed"
"1663","post","/2021/06/12/1663/","ja","exchange-online-remote-powershell-v2-dotnet-core-3-1","Exchange Online","Exchange Online | PowerShell | .NET Core","included","metadata-reviewed"
"1666","post","/2021/06/12/1666/","ja","exchange-online-remote-powershell-v2-dotnet-5","Exchange Online","Exchange Online | PowerShell | .NET 5","included","metadata-reviewed"
"1682","post","/2021/08/30/1682/","ja","manage-microsoft-365-licenses-graph-powershell-sdk","Microsoft Graph","Microsoft Graph | Microsoft 365 | Microsoft Graph PowerShell SDK | PowerShell | Licensing","included","metadata-reviewed"
"1697","post","/2021/09/29/1697/","ja","get-exchange-online-calendar-with-graph-powershell-sdk","Microsoft Graph","Microsoft Graph | Exchange Online | Microsoft Graph PowerShell SDK | PowerShell","included","metadata-reviewed"
"1721","post","/2022/02/22/1721/","ja","use-specific-microsoft-graph-powershell-sdk-modules","Microsoft Graph","Microsoft Graph | Microsoft Graph PowerShell SDK | PowerShell","included","metadata-reviewed"
"1738","post","/2022/05/07/1738/","ja","send-email-mentions-with-microsoft-graph","Microsoft Graph","Microsoft Graph | Exchange Online | Mentions","included","metadata-reviewed"
"1751","post","/2022/05/14/1751/","ja","send-exchange-online-email-with-graph-powershell-sdk","Microsoft Graph","Microsoft Graph | Exchange Online | Microsoft Graph PowerShell SDK | PowerShell","included","metadata-reviewed"
"1780","post","/2023/07/14/1780/","ja","connect-to-exchange-online-smtp-with-client-credentials","Exchange Online","Exchange Online | SMTP | MSAL | OAuth | Client Credential Flow","included","metadata-reviewed"
"1790","post","/2023/07/14/1790/","ja","connect-to-exchange-online-pop-with-client-credentials","Exchange Online","Exchange Online | POP | MSAL | OAuth | Client Credential Flow","included","metadata-reviewed"
"1801","post","/2023/07/14/1801/","ja","connect-to-exchange-online-imap-with-client-credentials","Exchange Online","Exchange Online | IMAP | MSAL | OAuth | Client Credential Flow","included","metadata-reviewed"
"1819","post","/2023/08/03/1819/","ja","control-application-mailbox-access-with-rbac","Microsoft Graph","Microsoft Graph | Exchange Online | RBAC","included","metadata-reviewed"
"1839","post","/2023/11/16/1839/","ja","find-ews-applications-in-tenant","Exchange Web Services","Exchange Web Services | Exchange Online","included","metadata-reviewed"
"1854","post","/2024/03/15/1854/","ja","create-draft-meeting-with-microsoft-graph","Microsoft Graph","Microsoft Graph | Exchange Online","migrated","verified"
"1867","post","/2024/08/29/1867/","ja","microsoft-graph-email-attachments","Microsoft Graph","Microsoft Graph | Exchange Online | Attachments","migrated","verified"
"18","page","/about/","en","about","","","migrated","verified"
"1854","post","/2024/03/15/1854/","en","create-draft-meeting-with-microsoft-graph","Microsoft Graph","Microsoft Graph | Exchange Online","migrated","verified"
"1867","post","/2024/08/29/1867/","en","microsoft-graph-email-attachments","Microsoft Graph","Microsoft Graph | Exchange Online | Attachments","migrated","verified"
"1872","post","/2024/10/07/1872/","ja","prevent-user-profile-photo-changes-in-microsoft-365","Microsoft 365","Microsoft Graph | Microsoft 365 | Profile Photo","included","metadata-reviewed"
"1878","post","/2024/12/02/1878/","ja","connect-exchange-server-2019-management-tools-snapin","Exchange Server","Exchange Server | PowerShell | Exchange Management Tools","included","metadata-reviewed"
